datetime,PM2.5,SO2,NO2,CO,O3,TEMP,RAIN
2013-03-01 00:00:00,4.0,4.0,7.0,300.0,77.0,-0.7,0.0
2013-03-01 01:00:00,8.0,4.0,7.0,300.0,77.0,-1.1,0.0
2013-03-01 02:00:00,7.0,5.0,10.0,300.0,73.0,-1.1,0.0
2013-03-01 03:00:00,6.0,11.0,11.0,300.0,72.0,-1.4,0.0
2013-03-01 04:00:00,3.0,12.0,12.0,300.0,72.0,-2.0,0.0
2013-03-01 05:00:00,5.0,18.0,18.0,400.0,66.0,-2.2,0.0
2013-03-01 06:00:00,3.0,18.0,32.0,500.0,50.0,-2.6,0.0
2013-03-01 07:00:00,3.0,19.0,41.0,500.0,43.0,-1.6,0.0
2013-03-01 08:00:00,3.0,16.0,43.0,500.0,45.0,0.1,0.0
2013-03-01 09:00:00,3.0,12.0,28.0,400.0,59.0,1.2,0.0
2013-03-01 10:00:00,3.0,9.0,12.0,400.0,72.0,1.9,0.0
2013-03-01 11:00:00,3.0,9.0,14.0,400.0,71.0,2.9,0.0
2013-03-01 12:00:00,3.0,7.0,13.0,300.0,74.0,3.9,0.0
2013-03-01 13:00:00,3.0,7.0,12.0,400.0,76.0,5.3,0.0
2013-03-01 14:00:00,6.0,7.0,11.0,400.0,77.0,6.0,0.0
2013-03-01 15:00:00,8.0,7.0,14.0,400.0,76.0,6.2,0.0
2013-03-01 16:00:00,9.0,9.0,13.0,400.0,76.0,5.9,0.0
2013-03-01 17:00:00,10.0,11.0,15.0,400.0,74.0,4.3,0.0
2013-03-01 18:00:00,11.0,8.0,20.0,500.0,70.0,3.1,0.0
2013-03-01 19:00:00,8.0,12.0,30.0,500.0,60.0,2.3,0.0
2013-03-01 20:00:00,11.0,13.0,33.0,600.0,55.0,1.7,0.0
2013-03-01 21:00:00,12.0,16.0,35.0,500.0,50.0,0.6,0.0
2013-03-01 22:00:00,15.0,21.0,57.0,700.0,32.0,0.9,0.0
2013-03-01 23:00:00,24.0,26.0,54.0,600.0,36.0,-0.2,0.0
2013-03-02 00:00:00,22.0,24.0,44.0,500.0,44.0,-0.4,0.0
2013-03-02 01:00:00,14.0,21.0,36.0,400.0,50.0,-1.0,0.0
2013-03-02 02:00:00,13.0,20.0,37.0,400.0,47.0,-1.5,0.0
2013-03-02 03:00:00,3.0,13.0,34.0,400.0,52.0,-1.4,0.0
2013-03-02 04:00:00,3.0,18.0,43.0,400.0,43.0,-1.5,0.0
2013-03-02 05:00:00,9.0,19.0,70.0,500.0,20.0,-1.8,0.0
2013-03-02 06:00:00,4.0,28.0,46.0,500.0,39.0,-2.5,0.0
2013-03-02 07:00:00,3.0,34.0,58.0,500.0,27.0,-1.7,0.0
2013-03-02 08:00:00,3.0,21.0,49.0,500.0,43.0,-0.4,0.0
2013-03-02 09:00:00,10.0,47.0,62.0,700.0,29.0,0.6,0.0
2013-03-02 10:00:00,11.0,36.0,60.0,600.0,34.0,1.7,0.0
2013-03-02 11:00:00,18.0,36.0,70.0,800.0,27.0,2.2,0.0
2013-03-02 12:00:00,26.0,25.0,76.0,900.0,22.0,2.7,0.0
2013-03-02 13:00:00,25.0,20.0,57.0,700.0,39.0,3.3,0.0
2013-03-02 14:00:00,26.0,22.0,54.0,700.0,43.0,3.8,0.0
2013-03-02 15:00:00,37.0,24.0,55.0,700.0,44.0,3.9,0.0
2013-03-02 16:00:00,37.0,29.0,63.0,1000.0,38.0,3.5,0.0
2013-03-02 17:00:00,44.0,45.0,77.0,1200.0,30.0,2.2,0.0
2013-03-02 18:00:00,54.0,50.0,80.0,1100.0,24.0,1.2,0.0
2013-03-02 19:00:00,61.0,50.0,97.0,1300.0,10.0,1.5,0.0
2013-03-02 20:00:00,67.0,54.0,108.0,1399.0,2.0,1.2,0.0
2013-03-02 21:00:00,74.0,72.0,107.0,1399.0,2.0,0.6,0.0
2013-03-02 22:00:00,81.0,84.0,110.0,1500.0,3.0,-0.6,0.0
2013-03-02 23:00:00,93.0,87.0,107.0,1700.0,2.0,-0.8,0.0
2013-03-03 00:00:00,112.0,73.0,100.0,1899.0,2.0,-1.4,0.0
